Velocidade de impressão (mm/s),Temperatura de extrusão (ºC),Densidade de preenchimento (%),Espessura (mm),Orientação (º),Resistência a tração (MPa)
40,190,100,0.2,0,40.03
40,210,100,0.2,0,50
40,230,100,0.2,0,56.96
50,190,100,0.2,0,50.04
50,210,100,0.2,0,59.84
50,230,100,0.2,0,49.86
30,200,100,0.1,90,45.83
30,200,100,0.1,90,50.35
30,200,100,0.1,90,47.83
30,210,100,0.1,90,47.52
30,210,100,0.1,90,50.72
30,210,100,0.1,90,50.08
30,220,100,0.1,90,48.34
30,220,100,0.1,90,51.38
30,220,100,0.1,90,49.21
30,230,100,0.1,90,49.35
30,230,100,0.1,90,50.68
30,230,100,0.1,90,50.46
30,240,100,0.1,90,49.32
30,240,100,0.1,90,50.13
30,240,100,0.1,90,49.52
40,200,100,0.1,90,50.26
40,200,100,0.1,90,49.62
40,200,100,0.1,90,49.05
50,200,100,0.1,90,50.54
50,200,100,0.1,90,50.23
50,200,100,0.1,90,49.41
60,200,100,0.1,90,52.15
60,200,100,0.1,90,51.73
60,200,100,0.1,90,50.51
60,210,100,0.1,0,27.48
60,210,100,0.1,15,30.69
60,210,100,0.1,30,32.35
60,210,100,0.1,45,37.42
60,210,100,0.1,60,43.93
60,210,100,0.1,75,49.85
60,210,100,0.1,90,53.66
60,210,100,0.05,90,53.7
60,210,100,0.15,90,51.75
60,210,100,0.2,90,50.52
60,210,20,0.1,90,20.04
60,210,40,0.1,90,21.08
60,210,60,0.1,90,23.81
60,210,80,0.1,90,28.5
60,195,100,0.1,90,46.97
60,200,100,0.1,90,47.3
60,205,100,0.1,90,49.18
60,215,100,0.1,90,54.39
60,220,100,0.1,90,54.17
60,225,100,0.1,90,54.27
60,230,100,0.1,90,53.03
60,200,100,0.1,90,26
65,200,100,0.2,90,23
70,200,100,0.3,90,20
65,210,100,0.1,90,27
70,210,100,0.2,90,22
60,210,100,0.3,90,21
70,220,100,0.1,90,28
60,220,100,0.2,90,23
65,220,100,0.3,90,21
80,200,100,0.2,90,38.43
80,200,100,0.2,90,37.69
80,200,100,0.2,90,35.78
80,200,100,0.2,90,37.61
80,200,100,0.2,90,37.71
80,200,100,0.2,90,36.5
80,200,100,0.2,90,36.41
80,200,100,0.2,90,38.12
80,200,100,0.2,90,37.33
80,200,100,0.2,90,35.58
80,200,100,0.2,90,36.53
80,200,100,0.2,90,36.69
80,200,100,0.2,90,39.06
80,200,100,0.2,90,39.15
80,200,100,0.2,90,39.15
60,215,100,0.1,0,28.67
60,215,100,0.1,0,25.07
60,215,100,0.1,0,26.21
60,215,100,0.1,0,27.66
60,215,100,0.1,45,30.84
60,215,100,0.1,45,32.97
60,215,100,0.1,45,32.94
60,215,100,0.1,45,28.56
60,215,100,0.1,90,54.37
60,215,100,0.1,90,55.97
60,215,100,0.1,90,57.24
60,215,100,0.2,0,25.53
60,215,100,0.2,0,24.95
60,215,100,0.2,0,26.2
60,215,100,0.2,0,23.05
60,215,100,0.2,45,31.47
60,215,100,0.2,45,30.56
60,215,100,0.2,45,30.02
60,215,100,0.2,90,51.18
60,215,100,0.2,90,53.53
60,215,100,0.2,90,54.53
60,215,100,0.2,90,57.65
60,215,100,0.3,0,23.56
60,215,100,0.3,0,24.14
60,215,100,0.3,0,23.63
60,215,100,0.3,45,29.32
60,215,100,0.3,45,29.19
60,215,100,0.3,45,28.98
60,215,100,0.3,90,44.94
60,215,100,0.3,90,45.62
60,215,100,0.3,90,45.24
60,215,100,0.3,90,48.71
80,200,20,0.1,90,20.71
80,200,20,0.2,90,19.09
80,200,20,0.1,45,20.2
80,200,20,0.2,45,17.67
80,220,20,0.1,90,22.63
80,220,20,0.2,90,19.79
80,220,20,0.1,45,21.36
80,220,20,0.2,45,18.2
80,200,40,0.1,90,24.18
80,200,40,0.2,90,22.35
80,200,40,0.1,45,19.91
80,200,40,0.2,45,22.24
80,220,40,0.1,90,24.97
80,220,40,0.2,90,26.14
80,220,40,0.1,45,25.31
80,220,40,0.2,45,24.32
80,200,60,0.1,90,26.23
80,200,60,0.2,90,26.55
80,200,60,0.1,45,29.43
80,200,60,0.2,45,25.22
80,220,60,0.1,90,30.22
80,220,60,0.2,90,28.67
80,220,60,0.1,45,29.43
80,220,60,0.2,45,26.71
30,185,10,0.15,90,18.6
30,185,10,0.19,90,22.79
30,185,10,0.25,90,25.16
30,185,10,0.15,90,21.4
30,185,10,0.19,90,23.63
30,185,10,0.25,90,29.15
30,185,10,0.15,90,25.76
30,185,10,0.19,90,24.6
30,185,10,0.25,90,30.38
30,185,25,0.15,90,22.04
30,185,25,0.19,90,26.24
30,185,25,0.25,90,30.71
30,185,25,0.15,90,26.53
30,185,25,0.19,90,28.8
30,185,25,0.25,90,32.38
30,185,25,0.15,90,30.33
30,185,25,0.19,90,34.16
30,185,25,0.25,90,36.37
30,185,50,0.15,90,30.93
30,185,50,0.19,90,35.47
30,185,50,0.25,90,35.54
30,185,50,0.15,90,30.79
30,185,50,0.19,90,34.05
30,185,50,0.25,90,36.96
30,185,50,0.15,90,30.26
30,185,50,0.19,90,35.78
30,185,50,0.25,90,37.7
